upazila_ID;Upz_geocode;distr_ID;Upazilla;bn_name;DS_X;DS_Y;Number;Constituency ;Isdelete;UserID;,
171;303543;21;Kashiani;????????;479474;555406;0;215;0;1;,
172;303551;21;Kotalipara;??????????;502387;535587;0;217;0;1;,
173;303558;21;Muksudpur;?????????;491705;563684;0;215;0;1;,
174;303591;21;Tungipara;??????????;490499;526050;0;217;0;1;,
175;304802;22;Austagram;?????????;613628;680673;0;165;0;1;,
176;304806;22;Bajitpur;????????;596371;670011;0;166;0;1;,
177;304811;22;Bhairab;????;600042;656196;0;167;0;1;,
178;304827;22;Hossainpur;???????? ;567116;694186;0;162;0;1;,
179;304833;22;Itna;????;609461;707144;0;165;0;1;,
180;304842;22;Karimganj;????????;590494;694879;0;164;0;1;,
181;304845;22;Katiadi;????????;583493;677240;0;163;0;1;,
182;304849;22;Kishoreganj Sadar;????????? ???;579443;691500;0;162;0;1;,
183;304854;22;Kuliar Char;?????????;590195;661765;0;167;0;1;,
184;304859;22;Mithamain;????????;612185;692848;0;165;0;1;,
185;304876;22;Nikli;?????;597563;682434;0;166;0;1;,
186;304879;22;Pakundia;????????;570314;680178;0;163;0;1;,
187;304892;22;Tarail;??????;590193;705736;0;164;0;1;,
188;305440;23;Kalkini;???????;525638;542457;0;220;0;1;,
189;305454;23;Madaripur Sadar;????????? ???;518116;555775;0;219;0;1;,
190;305480;23;Rajoir;?????;504144;556610;0;219;0;1;,
191;305487;23;Shibchar;?????;517904;575865;0;218;0;1;,
192;305610;24;Daulatpur;???????;479911;639903;0;168;0;1;,
193;305622;24;Ghior;????;490554;630798;0;168;0;1;,
194;305628;24;Harirampur;?????????;495019;614064;0;169;0;1;,
195;305646;24;Manikganj Sadar;????????? ???;503328;626602;0;170;0;1;,
196;305670;24;Saturia;????????;500442;640042;0;170;0;1;,
197;305678;24;Shibalaya;??????;481049;626853;0;168;0;1;,
198;305682;24;Singair;????????;516033;620784;0;169;0;1;,
199;305924;25;Gazaria;???????;564320;595133;0;173;0;1;,
200;305944;25;Lohajang;?????;534975;586206;0;172;0;1;,
201;305956;25;Munshiganj Sadar;?????????? ???;553898;588369;0;173;0;1;,
202;305974;25;Serajdikhan;??????????;536564;600420;0;170;0;1;,
203;305984;25;Sreenagar;???????;527183;594639;0;171;0;1;,
204;305994;25;Tongibari;?????????;546391;587236;0;172;0;1;,
205;306702;26;Araihazar;?????????;568286;618739;0;205;0;1;,
206;306704;26;Sonargaon;?????????;560820;609427;0;206;0;1;,
207;306706;26;Bandar;?????;555144;604866;0;208;0;1;,
208;306758;26;Narayanganj Sadar;?????????? ???;549347;604251;0;;0;1;,
209;306768;26;Rupganj;???????;555363;624367;0;204;0;1;,
210;306807;27;Belabo;??????;586460;655942;0;202;0;1;,
211;306852;27;Manohardi;???????;;;;202;;;,
212;306860;27;Narsingdi Sadar;??????? ???;572062;630421;0;199;0;1;,
213;306863;27;Palash;????;566231;640056;0;200;0;1;,
214;306864;27;Roypura;??????;588710;640714;0;203;0;1;,
215;306876;27;Shibpur;??????;575926;647932;0;201;0;1;,
216;308207;28;Baliakandi;????????????;454732;606331;0;210;0;1;,
217;308229;28;Goalanda;???????? ???;476444;617573;0;209;0;1;,
218;308247;28;Kalukhali;????????;446644;615994;0;;0;1;,
219;308273;28;Pangsha;?????;437763;621239;0;210;0;1;,
220;308276;28;Rajbari Sadar;??????? ???;465162;613358;0;209;0;1;,
221;308614;29;Bhedarganj;?????????;553017;561750;0;223;0;1;,
222;308625;29;Damudya;????????;543478;549968;0;223;0;1;,
223;308636;29;Gosairhat;?????? ??? ;547506;543337;0;223;0;1;,
224;308665;29;Naria;?????;544107;568056;0;223;0;1;,
225;308669;29;Shariatpur Sadar;???????? ???;532830;558205;0;221;0;1;,
226;308694;29;Zanjira;??????;532962;574351;0;221;0;1;,
227;309309;30;Basail;??????;504361;670368;0;137;0;1;,
228;309319;30;Bhuapur;???????;481640;697078;0;;0;1;,
229;309323;30;Delduar;????????;493907;660755;0;135;0;1;,
230;309325;30;Dhanbari;??????;493761;720558;0;130;0;1;,
231;309328;30;Ghatail;??????;505419;696693;0;132;0;1;,
232;309338;30;Gopalpur;????????;490458;707670;0;131;0;1;,
233;309347;30;Kalihati;????????;494915;684135;0;133;0;1;,
234;309357;30;Madhupur;??????;506431;716211;0;130;0;1;,
235;309366;30;Mirzapur;?????????;511117;657588;0;136;0;1;,
236;309376;30;Nagarpur;??????;487630;650143;0;135;0;1;,
237;309385;30;Sakhipur;??????;517977;678408;0;137;0;1;,
238;309395;30;Tangail Sadar;???????? ???;486713;673221;0;134;0;1;,
239;353907;31;Bakshiganj;????????;484668;777840;0;138;0;1;,
240;353915;31;Dewanganj;??????????;476673;785599;0;138;0;1;,
241;353929;31;Islampur;????????;476799;762863;0;139;0;1;,
242;353936;31;Jamalpur Sadar;???????? ???;501550;737711;0;141;142;0;1,
243;353958;31;Madarganj;?????????;474095;742151;0;140;0;1;,
244;353961;31;Melandaha;????????;482358;749814;0;140;0;1;,
245;353985;31;Sarishabari;????????? ;483171;723961;0;141;0;1;,
246;356113;32;Bhaluka;??????;536062;686778;0;156;0;1;,
247;356116;32;Dhobaura;???????;551730;765154;0;146;0;1;,
